Codigo,Descripcion,Precio,Rubro
7610,PLAFON CIELO LACADO 2 LUCES GRANDE,1822588,
7611,PLAFON CIELO LACADO 2 LUCES MEDIANO,1631070,
PD24,PLAFON LED DESMONTABLE DUAL 24W,4210074,
P220,PLAFON NAPOLI 25CM MURANO,2373401,
P228,PLAFON PALERMO 25CM,2164422,
P233,PLAFON PARIS CIRCULAR,2761504,
P234,PLAFON PARIS CUADRADO,2761504,
5203,PLAFON PLATIL REDONDO 2XE27 25CM,3988556,
PF001,PLAFON RECTO 4 LUCES BLANCO C/PLATIL,9003822,
P227,PLAFON TORINO 30CM,2522671,
P222,PLAFON TRENTO,2761504,
P190,PLAFON VALENCIA GU10,1387430,
P119,PLAFON VERONA 20CM,1268799,
P215,PLAFON VERONA 25CM,1925589,
P216,PLAFON VERONA 30CM,2313692,
P1111,PLAFON VIDRIO CURVO 2 LUCES,5671659,
1045,PLANCHA CRIVEL SECA,396257,
P5W,"PLAQUETA LED 5,5CM 5W",143374,
P9W,"PLAQUETA LED 7,5CM 9W",161808,
60034,PLATINUM MODULO 2 1/2 COMBINACION,227970,
60037,PLATINUM MODULO 4 VIAS COMBINACION,294692,
60053,PLATINUM MODULO COMBINACION,87952,
60051,PLATINUM MODULO PUNTO,82390,
60092,PLATINUM MODULO TAPON CIEGO,10211,
60353,PLATINUM MODULO TECLON COMBINACION,129752,
60067,PLATINUM MODULO TOMA 10A,89972,
60059,PLATINUM MODULO TOMA 20A,154170,
45098/2,PLATINUM TAPA BLANCA,48174,
507BCL,PLATO 2 LUCES BCO/NG/MARRON,3100020,
707BLANCO,PLATO 2 LUCES BLANCO C/MADERA,3057428,
707BRONCE,PLATO 2 LUCES BRONCE C/MADERA,4449995,
AV005,PLATO 2L RUCA FIJO PLATIL/DORADO,2935604,
AV007,PLATO 2L RUCA MOVIL PLATIL/DORADO,3203912,
708BLANCO,PLATO 3 LUCES BLANCO C/MADERA,4211976,
708BRONCE,PLATO 3 LUCES BRONCE C/MADERA,5889531,
6159,PLATO 3 LUCES COBRE PROFORMA,9484827,
508BCL,PLATO 3 LUCES MARRON/BCO/NG BCL,3759424,
AV006,PLATO 3L RUCA FIJO PLATIL/DORADO,3756310,
AV008,PLATO 3L RUCA MOVIL PLATIL/DORADO,3961487,
699,POPIT ELECTRONICO C/LUZ Y SONIDO,980100,
PB100X50,PORTA BASTIDOR UNIV.ZOLODA 100X50,459316,
PS,PORTA SAHUMERIO,849304,
PF10X38,PORTAFUSIBLE UNIPOLAR 32A 10X38,1250787,
13046,PORTALAMPARA 3 PIEZAS,106140,
13051,PORTALAMPARA C/CHICOTE,80290,
13045,PORTALAMPARA C/FICHA,123508,
13048,"PORTALAMPARA CERAMICA 3/8""",188827,
3080,PORTALAMPARA CON FICHA Y LLAVE,230015,
13047,PORTALAMPARA E14 MILENIUM,74781,
13053,"PORTALAMPARA E40 5/8""",432818,
13055,PORTALAMPARA MIGNON 3 PIEZAS,168031,
13054,PORTALAMPARA MIGNON VELERO,185572,
X46,PORTALAMPARA P/ARTEFACTO ROSCADO,321942,
13050,PORTALAMPARA VELERO,91399,
8022,PORTALAMPARA VINTAGE COBRE/BRONCE,230015,
7076,PORTATIL REFORZADA 5 MTS,1199098,
13060,PORTERO COMMAX 1 TEL P/CERRADURA,13780542,
13062,PORTERO COMMAX 2 TEL P/CERRADURA,21635417,
13063,PORTERO SICA FRENTE EXT/EMB,9350033,
ALT1,PRECINTO ALT-1 100MM,77803,
ALT2,PRECINTO ALT-2 150MM,174240,
ALT3,PRECINTO ALT-3 200MM,262207,
ALT4,PRECINTO ALT-4 250MM,322102,
ALT5,"PRECINTO ALT-5 300MM 4,6MM",385990,
ALT6,"PRECINTO ALT-6 300MM 7,6MM",1805320,
ALT7,PRECINTO ALT-7 350MM,1450790,
ALT8,PRECINTO ALT-8 400MM,548251,
PRENSA11/2,"PRENSACABLE PVC 1 1/2"" C/TUERCA",281003,
PRENSA11/4,"PRENSACABLE PVC 1 1/4"" C/TUERCA",162336,
PRENSA1,"PRENSACABLE PVC 1"" C/TUERCA",125047,
PRENSA1/2,"PRENSACABLE PVC 1/2"" C/TUERCA",59426,
PRENSA2,"PRENSACABLE PVC 2"" C/TUERCA",421664,
PRENSA3/4,"PRENSACABLE PVC 3/4"" C/TUERCA",72608,
PRENSA5/8,"PRENSACABLE PVC 5/8"" C/TUERCA",63532,
PRENSA7/8,"PRENSACABLE PVC 7/8"" C/TUERCA",90760,
3145,PROTECTOR 20A DIGITAL P/AIRE,6290064,
TDP-140,PROTECTOR 40A DIGITAL P/RIEL TBCIN,7450091,
3313,PROTECTOR 5KW RBC P/RIEL,5808726,
1055,PROTECTOR DIGITAL ENCHUFABLE,1273488,
1054,PROTECTOR TENSION INDIVIDUAL,2190100,
P54L,PROTON 54 LED,3200087,
STAR,PROYECTOR ESTRELLAS GIRATORIO,990022,
100,PROYECTOR LED 100W CANDELA,1531013,
100M,PROYECTOR LED 100W MACROLED,5890038,
10,PROYECTOR LED 10W CANDELA,441529,
150,PROYECTOR LED 150W CANDELA,2350667,
200,PROYECTOR LED 200W CANDELA,3250907,
200W,PROYECTOR LED 200W CAPOBIANCO,5734674,
20S,PROYECTOR LED 20W C/SENSOR DE MOV.,2690072,
20,PROYECTOR LED 20W CANDELA,515702,
30,PROYECTOR LED 30W CANDELA,575355,
30K,PROYECTOR LED 30W KING,2190100,
50S,PROYECTOR LED 50W C/SENSOR DE MOV.,3190044,
50,PROYECTOR LED 50W CANDELA,781297,
50M,PROYECTOR LED 50W MACROLED,3390057,
20RGB,PROYECTOR LED RGB 20W,2395800,
50RGB,PROYECTOR LED RGB 50W,3509000,
5017,PROYECTOR SOLAR C/SENSOR Y PANEL,7598857,
P120S,PROYECTOR SOLAR LED 120W ILUMROS,4980118,
P60S,PROYECTOR SOLAR LED 60W ILUMROS,2980109,
1052,PULSADOR LUMINOSO RBC SITEL,129543,
P9,PULSADOR P/CORTADORA DE CESPED,46474,
P8,PULSADOR TIMBRE UNIPOLAR,23202,
GK9,PUNTAS DE PRUEBA CAT2 400V,2662000,
GP20,PUNTERO LASER GREEN GP20,550066,
14000,RECEPTACULO E14,139150,
14001,RECEPTACULO E27,166980,
7001,RECEPTACULO P/CAJA 11CM DIAMETRO,163887,
14010,REDUCCION GOLIATH A EDISON,213112,
RS1,REFLECTOR SOLAR LED C/SENSOR MOV.,950092,
5882,REGLETA 2 LUCES VOLCAN,4961559,
265SP,REGLETA ESPIRAL 5 LUCES PLATIL,23527919,
RELE,"RELE TERMICO (DE 0,63A-25A) STECK",3172024,
1070,RELOJ ANALOGICO P/RIEL,2450008,
RE01,RELOJ CUBO LED RGB,688828,
1071,RELOJ DIGITAL 16A P/RIEL ZURICH,2924086,
1074,RELOJ ENCHUFABLE ANALOGICO,1190035,
RE02,RELOJ HUEVITO LED RGB,1206790,
R1MT,RIEL ALUMINIO 1 METRO BCO/NEGRO,1332675,
R2MT,RIEL ALUMINIO 2 METROS BCO/NEGRO,2689277,
16059,RIEL DIN 10 CM,91321,
16058,RIEL DIN 20 CM,146773,
14011,RIEL DIN X 1 MT,639218,
SH20,ROBERT PLAN CHICO,285218,
SH21,ROBERT PLAN CHICO DOBLE,317382,
SH22,ROBERT PLANT GRANDE,384424,
SH7,SAHUMERIOS DE LA INDIA ILUMINARTE,163056,
SH11,SAHUMERIOS EN PASTILLAS,275851,
SH14,SAHUMERIOS GRUESOS AROMANZA,241211,
SH24,SAHUMERIOS IMPORTADOS,241211,
SH28,SAHUMERIOS MAGICOS,337674,
SH13,SAHUMERIOS TIBETANOS,241211,
SH27,SAHUMERIOS TIBETANOS SLIM,200315,
SH12,SAHUMERIOS TRIANGULARES,241211,
SH17,SAHUMITOS,241211,
SECA,SECADOR DE PELO,1534749,
S3S,SELECTORA 3 POSICIONES PVC STECK,306248,
40602/0,SELECTORA FASE EMB.40A TRIFASICA,5021780,
2008,SELLADORA PASTA IGNIFUGA EN POLVO,1155348,
1082,SENSOR DE MOVIMIENTO PARED/TECHO,1450064,
SETX3,SET 3 LUCES LED COB C/CONTROL,1090089,
MST,SOPORTE TOMA C/N 10A P/CAPSULADA MIG,228542,
5011,"SOPORTE TV FIJO 14"" A 42""",450120,
15007,"SOPORTE TV FIJO 26"" A 63""",1156518,
14A55,"SOPORTE TV MOVIL 14"" A 55""",2190100,
9532,"SPOT ""LOLO"" 2 LUCES NG/BCO C/MADERA",6900025,
7801BLANCO,SPOT 1 LUZ BCO TULIPA FINA,2251338,
501BCL,SPOT 1 LUZ BCO/NEGRO,1124717,
6151,SPOT 1 LUZ COBRE PROFORMA,3834814,
501BCLPLATIL,SPOT 1 LUZ PLATIL BCL,2029822,
601,SPOT 1 LUZ ROBLE/CEDRO,2189771,
502BCL,SPOT 2 LUCES BCO/NEGRO,2322427,
702BLANCO,SPOT 2 LUCES BLANCO C/MADERA,3082196,
6152,SPOT 2 LUCES COBRE PROFORMA,7106256,
502BCLPLATIL,SPOT 2 LUCES PLATIL BCL,4066627,
602,SPOT 2 LUCES ROBLE/CEDRO,3962533,
7333BCO-NG,SPOT 3 LUCES TULIPA DOBLE CONO,11223343,
7374BLANCO,SPOT 4 LUCES BCO C/PLATIL BCL,8628966,
2702,SPOT AR111 EMBUTIR BLANCO MOVIL,621020,
7802BLANCO,SPOT BLANCO 2 LUCES TULIPA FINA,4985061,
CH1,SPOT CHAPA 1 LUZ PARED,1355200,
CH2,SPOT CHAPA 2 LUCES PARED/TECHO/VENT.,2516800,
CH3,SPOT CHAPA 3 LUCES TECHO/VENT.,3024032,
4638,SPOT DICRO C/LAMP.EMB.BCO/NG,530101,
4639,SPOT DICRO C/LAMP.EMB.PLATIL,600039,
IONA,SPOT IONA MUNDO APARTE,1024859,
7801PLATIL,SPOT PLATIL 1 LUZ TULIPA FINA,2670251,
7802PLATIL,SPOT PLATIL 2 LUCES TULIPA FINA,6431579,
1LPVC,SPOT PVC 1 LUZ,1336082,
2LPVC,SPOT PVC 2 LUCES,2688015,
3LPVC,SPOT PVC 3 LUCES,3025000,
HERO,SUPER HEROES CANTA Y BAILA,1690007,
11000,TAAD ARMADA 1 PUNTO,126847,
11001,TAAD ARMADA 1 TOMA,126847,
11002,TAAD ARMADA 2 PUNTOS,175246,
11003,TAAD ARMADA 2 TOMAS,175246,
11004,TAAD ARMADA PUNTO Y TOMA,175246,
TH30A,TAPA CARTUCHO Y CARTUCHO 30A,400026,
16006,TAPA CIEGA CHAPA 10X10,77561,
16004,TAPA CIEGA CHAPA OCT.CHICA,43076,
16005,TAPA CIEGA CHAPA OCT.GRANDE,51909,
16003,TAPA CIEGA PVC 10X10,14641,
16000,TAPA CIEGA PVC MIGNON,18137,
16001,TAPA CIEGA PVC OCT.CHICA,62678,
16002,TAPA CIEGA PVC OCT.GRANDE,14641,
6046,TAPA CIEGA PVC RECTANGULAR,29784,
EKZ2E,TAPA PARA PEINE 2P,134068,
16012,TARUGO FISCHER C/TOPE N.10,30250,
16010,TARUGO FISCHER C/TORNILLO N.6,12406,
16011,TARUGO FISCHER C/TORNILLO N.8,19619,
TY,TARUGO YESO Y TORNILLO N6,24342,
103B,TELEFONO BELLSONIC 103B,4950110,
13061,TELEFONO COMMAX,10089456,
KX-T5007,TELEFONO DE MESA,1690007,
15006,TEMPORIZADOR ESCALERA RBC 5KW,5362962,
13021,TERMICA ABB/SCH/SIEMENS BIP.32/40A,2761825,
3342,TERMICA ABB/SCH/SIEMENS BIP.HASTA 25A,2150049,
3166,TERMICA BAW 2X25A,542149,
1053,TERMICA INTERELEC TETRAPOLAR,1926231,
6060,TERMICA INTERELEC TRIPOLAR,1416346,
4015,TERMICA INTERELEC UNIPOLAR,504691,
3165,TERMICA JELUZ 2X40A,1555534,
10018,TERMICA JELUZ BIPOLAR HASTA 32A,1013526,
3333,TERMICA JELUZ UNIPOLAR HASTA 32A,504691,
8007,TERMICA SICA 1X40A,685223,
8025,TERMICA SICA 1X50A,994741,
9005,TERMICA SICA 1X63A,994741,
4006,TERMICA SICA 2X40A,1332407,
16056,TERMICA SICA 2X63A,1830955,
6062,TERMICA SICA 3X40A,2194001,
4008,TERMICA SICA 4X40A,2762686,
4014,TERMICA SICA 4X63A,4006053,
4013,TERMICA SICA BIPOLAR HASTA 32A,1013526,
6061,TERMICA SICA TRIPOLAR HASTA 32A,1718773,
4005,TERMICA SICA UNIPOLAR HASTA 32A,504691,
4012,TERMICA STECK 4X40A,3456761,
4007,TERMICA STECK 4X63A,3526174,
4011,TERMICA STECK TETRAPOLAR HASTA 32A,2883469,
17001,TERMICA STECK UNIPOLAR HASTA 32A,708033,
16032,"TERMINAL 1,5 MM",25127,
16036,TERMINAL 10 MM,139594,
16037,TERMINAL 16 MM,184265,
16033,"TERMINAL 2,5 MM",30711,
16038,TERMINAL 25 MM,203808,
16039,TERMINAL 35 MM,321068,
16034,TERMINAL 4 MM,44670,
16040,TERMINAL 50 MM,429951,
16035,TERMINAL 6 MM,61422,
16031,TERMINAL PREAISLADO,29102,
"TIF2,5","TERMINAL TIF 2,5 MM",8107,
"TIF2X2,5","TERMINAL TIF 2X2,5 MM",14762,
TIF4,TERMINAL TIF 4 MM,12221,
TIF6,TERMINAL TIF 6 MM,14641,
16041,TERMINALES LATON DORADOS,16577,
TC10,TERMOCONTRAIBLE 10MM X METRO,106480,
"TC12,7","TERMOCONTRAIBLE 12,7MM X METRO",114950,
"TC2,5","TERMOCONTRAIBLE 2,5MM X METRO",45980,
"TC3,5","TERMOCONTRAIBLE 3,5MM X METRO",50820,
TC5,TERMOCONTRAIBLE 5MM X METRO,64974,
TC7,TERMOCONTRAIBLE 7MM X METRO,73699,
8035,TESTER DIGITAL,920084,
SH4,TEXTIL SAPHIRUS,301124,
8016,TIMBRE INALAMBRICO CANDELA,841434,
8014,TIMBRE INALAMBRICO SANDERSON,2790018,
3087,TIRA LED 5050 EXT.5 MTS FRIA/CALIDA,2200022,
3085,TIRA LED 5050 INTERIOR 5MTS FRIA/CALIDA,1980044,
3086,TIRA LED RGB 5050 5MTS COMPLETA,1390048,
TNX5,TIRA NEON LED X 5 MTS COMPLETA,1450064,
9003,TOMA EXT TEL. DOBLE,16805,
TEM10,TOMA EXTERIOR MULTINORMA 10A,161736,
16017,TOMA TEL.EXTERIOR 2 SALIDAS,16805,
16016,TOMA TELEFONO EXT.1SALIDA,14704,
16030,"TOMACABLE P/JABALINA 1/2""",339233,
WIFI,TOMACORRIENTE WIFI 10A,2690072,
2025,TORNILLOS C/TARUGO N.6,12406,
2026,TORNILLOS C/TARUGO N.8,19618,
9001,TORTUGA ANTIEXPLOSIVA REGLAMENTARIA,9192297,
802,TORTUGA CHAPA OVAL CHICA,1588814,
801,TORTUGA CHAPA OVAL GRANDE,2077769,
862,TORTUGA CHAPA REDONDA,1081276,
TF1007,TORTUGA FUNDICION MEDIA TAPADA OVAL,2050053,
5501,TORTUGA PVC ARO ILUMROS,676073,
803,TORTUGA PVC DE DISEÑO,980100,
5502,TORTUGA PVC VINCHA ILUMROS,676073,
1085,TRAFO DICRO ELECTRONICO LUCCIOLA,1290102,
7069,TRAFO DICRO ELECTRONICO OSRAM/PHILIPS,1411102,
1080,TRAFO ENCHUFABLE 12V 2A,809369,
1081,TRAFO ENCHUFABLE 12V 3A,1105214,
1079,TRAFO ENCHUFABLE 12V 5A,1488784,
1084,TRAFO MECANICO 12V 50W,2172434,
1086,TRAFO USB 5V 1A,290037,
8030,TRAVESAÑO P/CAJA,59774,
10061,TRIPLICADORA TRIPTO GIRATORIO,590117,
"TR2,1","TRIPODE 2,1 MTS",1090089,
TC22,TUBO CIRCULAR 22W FRANCE,1650077,
TC32,TUBO CIRCULAR 32W FRANCE,1804957,
F36W,TUBO FLUORESCENTE 36W,500093,
T18,"TUBO LED 18W 1,2 MTS",280115,
T240,"TUBO LED 2,4 MTS REEMPLAZO 105W",2000009,
T20,"TUBO LED 20W PREMIUM 1,2 MTS",612666,
T9,"TUBO LED 9W 0,6 MTS",280115,
T16PH,"TUBO LED PHILIPS NEUTRO 16W 1,2 MTS",525019,
T45,"TUBO LED REEMPLAZO 15W 0,45 MTS",595078,
T90,"TUBO LED REEMPLAZO 30W 0,9 MTS",450120,
T150,"TUBO LED REEMPLAZO 58W 1,5 MTS",603908,
TN4,TUBO LUZ NEGRA 4W,419476,
16087,"TUERCA 3/8"" P/VARILLA",11011,
2310,"TUERCA PVC 1 1/4""",212597,
7002,TULIPA CILINDRO 10X20 SATINADA,1077379,
BCL,TULIPA LISA BCL,573149,
T65,TULIPA SALVAVISTA 13CM CRISTAL,1029693,
T66,TULIPA SALVAVISTA 13CM SATINADA,1134957,
T54,TULIPA SALVAVISTA 20CM CRISTAL,2092627,
T55,TULIPA SALVAVISTA 20CM SATINADA,2417918,
T64,TULIPA SALVAVISTA 25CM CRISTAL,2915747,
T60,TULIPA SALVAVISTA 25CM SATINADA,3363715,
TULBANK,TULIPA VIDRIO P/LAMPARA BANQUERO,3110316,
U1,UNIDIRECCIONAL U-1,1068428,
U2,UNIDIRECCIONAL U-2,914533,
U3,UNIDIRECCIONAL U-3,1068428,
UNI20,UNION 20MM,18150,
UNI22,UNION 22MM,25289,
UNI25,UNION 25MM,28072,
UNI32,UNION 32MM,76230,
3346,"UNION PVC 1""",10010,
3344,"UNION PVC 3/4""",7786,
3345,"UNION PVC 7/8""",8527,
19000,VARIADOR 5 VELOCIDADES VENTILADOR,2213211,
V100,VARILLA LED RIGIDA 100CM,1390048,
V40,VARILLA LED RIGIDA 40CM,650012,
V40A,VARILLA LED RIGIDA 40CM ALUMINIO,1800117,
V40Z,VARILLA LED RIGIDA 40CM AZUL,2691899,
V80,VARILLA LED RIGIDA 80CM,1150105,
V80A,VARILLA LED RIGIDA 80CM ALUMINIO,3400970,
3244,"VARILLA ROSCADA 3/8"" X 1 METRO",446611,
102,VELA CUARZO P/ESTUFA 45CM,290037,
SH9,VELA FLOTANTE FLOR DE LOTO GRANDE,600087,
101,VELA HALOGENADA P/ESTUFA 18/20/22/24/26,390104,
PLANET,"VELADOR ""PLANET"" CHAPA PERFORADA",2044421,
V128,"VELADOR ""PORTO"" JAULITA",2322544,
RASTER,"VELADOR ""RASTER"" CHAPA PERFORADA",2044421,
VE004,VELADOR 43CM C/PANTALLA ORGANZA,3607496,
VE001,VELADOR ALTO PANTALLA CIRCULAR,4258444,
VA15,VELADOR AROMATICO NUMERO 15,3490003,
VA17,VELADOR AROMATICO NUMERO 17,3490003,
VA19,VELADOR AROMATICO NUMERO 19,3490003,
VA28,VELADOR AROMATICO NUMERO 28,4790027,
VA44,VELADOR AROMATICO NUMERO 44,3590070,
VA45,VELADOR AROMATICO NUMERO 45,4190109,
VA46,VELADOR AROMATICO NUMERO 46,4890094,
VA54,VELADOR AROMATICO NUMERO 54,4290055,
VA6,VELADOR AROMATICO NUMERO 6,3950045,
VB01,VELADOR C/BOCHITA RAYADA CROMO Y BCO/NG,3108006,
366-O,VELADOR CAÑO 3/8 PANTALLA ORGANZA C/LAMP,2235416,
VC1,VELADOR CERAMICA,3649283,
CIRC,VELADOR CIRCULAR MADERA,3377524,
VCC1,VELADOR CONO CERAMICA,5985475,
VCV,VELADOR CROMADO BOCHA VIDRIO/CERAMICA,5924160,
VCV-2,VELADOR CROMADO DOBLE BOCHA VIDRIO/CERAM,6753542,
VCROM,VELADOR CROMO RECTO,4381627,
VH1,VELADOR CURVO HIERRO,1421798,
MDF2,VELADOR DAMAJUNA MDF,3292484,
VM1,VELADOR DE MESA C/PANTALLA CIRCULAR,12559219,
VP19,VELADOR DE PARED FLEXIBLE C/TECLA,5553900,
V52,VELADOR DECO C/LAMPARA VINTAGE,5095122,
BM,VELADOR GLOBITO BASE METAL,2737391,
9100,VELADOR GLOBO BASE MADERA,4361770,
9020PLATIL,VELADOR GLOBO PLATIL,5498546,
9022PLATIL,VELADOR GLOBO PLATIL,5498546,
VELH,VELADOR HIERRO,3412316,
CH10,VELADOR HIERRO RECTO CP,1980044,
HMAD,VELADOR HONGUITO BASE MADERA,3961161,
HPVC,VELADOR HONGUITO PVC,2200022,
INF,VELADOR INFANTIL FIJO,1690007,
81030,VELADOR LED USB 3 TONOS CABEZAL RECTANG.,1090089,
81031,VELADOR LED USB DOBLE CABEZAL 3 TONOS,1490115,
VELZ,VELADOR LED ZAPATILLA USB,701600,
LOTITA,VELADOR LOTITA PVC,1913931,
VM01,VELADOR MADERA ECO,2500102,
G2,VELADOR MINI RGB RELOJ/PARLANTE/CARGADOR,1590061,
VX1,VELADOR MIXTO BLANCO Y PLATIL,3080563,
NORD7,"VELADOR NORDICO ""Z""",2490819,
NORD8,VELADOR NORDICO 4 PATAS,2490819,
NORD6,VELADOR NORDICO BASE TRIANGULAR,3025537,
NORD2,VELADOR NORDICO C/CABEZAL METALICO,2645922,
NORD5,VELADOR NORDICO C/LAPICERO,3853958,
NORD1,VELADOR NORDICO C/PANTALLA,1857030,
NORD4,VELADOR NORDICO HIERRO NEGRO TEXTURADO,2953501,
PILAR,VELADOR PILAR MADERA,3935942,
VP1,VELADOR PLASTICO ECO,1690007,
PRISMA,VELADOR PRISMA MADERA,4322106,
QS6612,VELADOR RECARGABLE LED QS6612,1179003,
8603,VELADOR RECTO BCO/NEGRO,3025057,
G1,VELADOR RGB RELOJ/PARLANTE/CARGADOR,2750088,
TORRE,VELADOR TORRE MUNDO APARTE,2130734,
9201PLATIL,VELADOR TRIPODE CHICO,4379542,
9202PLATIL,VELADOR TRIPODE GRANDE,5204673,
SH8,VELAS P/HORNITO X 12,449344,
VT1,VENTILADOR C/LUZ C/ROSCA E27,4590014,
PARED20,"VENTILADOR DE PARED 20"" TITANIO",14301888,
PIE20,"VENTILADOR DE PIE 20"" CRIVEL",14301888,
12003,VENTILADOR TECHO CHAPA ECO,14301888,
12000,VENTILADOR TECHO CHAPA VENTISTAR,14301888,
12004,VENTILADOR TECHO MADERA ECO,16190816,
12001,VENTILADOR TECHO MADERA VENTISTAR,16190816,
12002,VENTILADOR TECHO PLATIL VENTISTAR,26986936,
TURBO16,"VENTILADOR TURBO 16"" BELITA",5590079,
TURBO20,"VENTILADOR TURBO 20"" BELITA",6290064,
11050,VERONA 1 PTO EMB.,192285,
11053,VERONA 1 TOMA EMB.,199867,
11057,VERONA 2 COMBINACION EMB.,275588,
11051,VERONA 2 PTOS EMB.,264468,
11054,VERONA 2 TOMAS EMB.,279632,
11058,VERONA 3 COMBINACION EMB.,353331,
11052,VERONA 3 PTOS EMB.,337156,
11055,VERONA 3 TOMAS EMB.,359397,
20510,VERONA ADAPT.RIEL DIN,60506,
20504,VERONA BASE CUADRUPLE P/CARCAZA,146701,
20502,VERONA BASE DOBLE P/CARCAZA,55198,
20505,VERONA BASE QUINTUPLE P/CARCAZA,176742,
20501,VERONA BASE SIMPLE P/CARCAZA,32907,
20503,VERONA BASE TRIPLE P/CARCAZA,109866,
15081,VERONA BASTIDOR 5X5,43973,
15080,VERONA BASTIDOR OCULTO,43977,
20500,VERONA CARCAZA,42592,
40031,VERONA MODULO 1/2 PUNTO Y 1/2 CIEGO,120180,
40034,VERONA MODULO 2 1/2 COMBINACION,227972,
10274,VERONA MODULO AUTOMATICO DE PALIER,1503432,
40053,VERONA MODULO COMBINACION,100212,
40038,VERONA MODULO INTERRUPTOR P/PERSIANA,112527,
40052,VERONA MODULO PULSADOR,87954,
40039,VERONA MODULO PULSADOR P/PERSIANA,117420,
40051,VERONA MODULO PUNTO,82393,
40011,VERONA MODULO TELEFONO,337500,
20067,VERONA MODULO TOMA 10A,89976,
20059,VERONA MODULO TOMA 20A,167504,
60028,VERONA MODULO TOMA DOBLE,251402,
40013,VERONA MODULO TV,343808,
USB,VERONA MODULO USB,1384711,
11070,VERONA MODULO VARIADOR VENT/LUZ,994802,
11079,VERONA PTO EXTERIOR,153666,
11060,VERONA PTO Y COMBINACION EMB.,270028,
11059,VERONA PTO Y TOMA EMB.,272050,
11062,VERONA PULSADOR EMBUTIR,197845,
11061,"VERONA PUNTO, COMB.Y TOMA EMB.",348782,
30099/2,VERONA TAPA BLANCA 5X5,45490,
30098/2,VERONA TAPA BLANCA REGINA,45493,
JECO,VERONA TAPA COLOR,205942,
40002,VERONA TAPA ESTANCO,356708,
20092,VERONA TAPA MODULO,10211,
11080,VERONA TOMA 10A EXTERIOR,169311,
11081,VERONA TOMA 20A EXTERIOR,236717,
6050,VOLTIMETRO DIGITAL ENCHUFABLE,444602,
AD22DS,VOLTIMETRO MINI DIGITAL REDONDO TBC,1623310,
YYC,YIN YAN CHICO,629372,
YYG,YIN YAN GRANDE,786715,
Z6,ZAPATILLA 3 TOMAS 10A + 2 USB RICHI,2202893,
Z2,"ZAPATILLA 4T 1,5 MTS RICHI/NECCO",1437559,
Z3,"ZAPATILLA 4T 2,5/3 MTS RICHI/LOGIC",1828570,
Z4,ZAPATILLA 4T 5 MTS RICHI/LOGIC,2633273,
Z1,ZAPATILLA 4T S/CABLE RICHI/LOGIC,734833,
Z8,ZAPATILLA 5 TOMAS + 2 USB C/CABLE,1950036,
Z5,"ZAPATILLA 6T 1,5 MTS RICHI/LOGIC",1702461,
Z7,ZAPATILLA 6T S/CABLE RICHI/LOGIC,1231478,
18015,ZOCALO DOBLE C/ROTOR CABLEADO,199892,
18013,ZOCALO FLEXIBLE JUEGO,170005,
18012,ZOCALO G9 CABLEADO,102124,
18014,ZOCALO GU10 CABLEADO,84700,
18011,ZOCALO P/TUBO CIRCULAR CABLEADO,300080,
4010,ZOCALO SIMPLE C/ROTOR,87846,
