Codigo,Descripcion,Precio,Rubro
3005,CABLE CANAL 55X30,760989,
SCH1010,CABLE CANAL SCHNEIDER 10X10 C/AD,381475,
SCH2012,CABLE CANAL SCHNEIDER 20X12 C/AD,406759,
3047,CABLE COAXIL RG6 GRUESO,42117,
3046,CABLE CONCENTRICO 4+4,38470,
3104,CABLE CONCENTRICO 6+6,92913,
3030,"CABLE CRISTAL 2X0,50 MM2",46130,
3031,"CABLE CRISTAL 2X0,75 MM2",62940,
3032,CABLE CRISTAL 2X1 MM2,79722,
CR10,CABLE DE RED 10 MTS,1000065,
CR20,CABLE DE RED 20 MTS,1500037,
CR30,CABLE DE RED 30 MTS,2000009,
CR5,CABLE DE RED 5 MTS,600039,
3075,"CABLE PARALELO 2X0,50 MM2",48096,
3076,"CABLE PARALELO 2X0,75 MM2",72419,
3077,CABLE PARALELO 2X1 MM2,87810,
3078,"CABLE PARALELO 2X1,5 MM2",130409,
3079,"CABLE PARALELO 2X2,5 MM2",209974,
3147,"CABLE SILICONADO 1X1,5 MM2",125879,
3100,"CABLE SUBTERRANEO 2X1,5 MM2",163385,
3101,"CABLE SUBTERRANEO 2X2,5 MM2",228260,
3102,CABLE SUBTERRANEO 2X4 MM2,350479,
3103,CABLE SUBTERRANEO 2X6 MM2,498344,
3106,"CABLE SUBTERRANEO 3X1,5 MM2",228260,
3107,"CABLE SUBTERRANEO 3X2,5 MM2",334672,
3113,"CABLE SUBTERRANEO 4X2,5 MM2",466012,
3114,CABLE SUBTERRANEO 4X4 MM2,726680,
3115,CABLE SUBTERRANEO 4X6 MM2,985336,
3060,CABLE TEL 1 PAR,15364,
3061,CABLE TEL 2 PAR,29516,
3062,CABLE TEL 3 PAR,45015,
3063,CABLE TEL 4 PAR,56875,
3065,CABLE TEL 6 PAR,77630,
3068,CABLE TEL ARMADO X 2 MTS,69898,
3069,CABLE TEL ARMADO X 4 MTS,104842,
3070,CABLE TEL ARMADO X 8 MTS,139788,
13096,CABLE TEL ESPIRALADO,139788,
3067,CABLE TEL FACHADA,28316,
10131,CABLE UTP CAT5 CORTE,84931,
3125,"CABLE V-RED 2X0,75 MM2",99502,
3126,CABLE V-RED 2X1 MM2,122290,
3127,"CABLE V-RED 2X1,5 MM2",167442,
3128,"CABLE V-RED 2X2,5 MM2",251092,
3129,CABLE V-RED 2X4 MM2,381308,
3130,CABLE V-RED 2X6 MM2,735965,
3131,"CABLE V-RED 3X0,75 MM2",150032,
3132,CABLE V-RED 3X1 MM2,156826,
3133,"CABLE V-RED 3X1,5 MM2",223350,
3134,"CABLE V-RED 3X2,5 MM2",360219,
3135,CABLE V-RED 3X4 MM2,641905,
3136,CABLE V-RED 3X6 MM2,776700,
3137,CABLE V-RED 4X1 MM2,226181,
3138,"CABLE V-RED 4X1,5 MM2",295960,
3139,"CABLE V-RED 4X2,5 MM2",449955,
3140,CABLE V-RED 4X4 MM2,798237,
3141,CABLE V-RED 4X6 MM2,1078152,
3143,CABLE V-RED 5X1 MM2,356689,
3144,"CABLE V-RED 5X1,5 MM2",409050,
3151,"CABLE V-RED 5X2,5 MM2",594467,
CACTUS,CACTUS CANTA Y BAILA,1090089,
10091,CAJA 10 DIN EXT.EMANAL,2145451,
3167,CAJA 12 DIN EMB.WELT,2094162,
3396,CAJA 12 DIN EXT.STARBOX,346393,
3238,CAJA 12 DIN EXT.WELT,2581172,
3236,CAJA 16 DIN EMB.EMANAL,1884091,
10045,CAJA 16 DIN EXT.EMANAL,2760373,
3239,CAJA 18 DIN EMB.WELT,2792242,
